# 四级短语表 · 共 2707 条 · 每 50 条一个单元
# 短语来源：2ndLA/english-phrases · CET-4 短语表（CC BY-SA 4.0）；释义来源：ECDICT（MIT License）
单词,音标,中文释义,英文释义
preserve from,,保护免受：防止受到。,
press for,,迫切要求,
press on,,强加于,
prevail over,,胜过,
prevent from,,"阻止, 妨碍",
prick up one's ears,,竖起耳朵听,
prior to,,"在前, 居先；[经] 在...之前",
prop up,,"支撑, 支持",
protect from,,保护,
protest against,,"抗议…,反对…",
protest against sth.,,反对某事：表达对某一政策、行为或事件的不满和反对。,
provide for,,"作准备, 供养, 规定",
pull apart,,"把...撕开, 批评",
pull away,,"脱身, 离开",
pull down,,"摧毁, 推翻, 使降低, 使下跌, 使身体变差, 使萎靡, 获取；[机] 胀陷, 上模剥砂",
pull in,,"进站, 靠岸",
pull into,,(车)进站,
pull off,,"脱, 努力实现, 赢得",
pull on,,"穿, 戴, 用力拉",
pull one's leg,,v. 拿···开玩笑；捉弄···,
pull one's weight,,尽力工作,
pull out,,"拔出, 离开, (使)渡过难关, (使)恢复健康",
pull over,,"靠岸, 开到路边",
pull through,,"(使)渡过难关, (使)恢复健康",
pull to pieces,,把...撕成碎片,
pull together,,齐心协力,
pull up,,"拔起, 停下, 阻止",
push about,,"驱使,摆布",
push around,,"把...推来推去, 摆布",
push on,,"推动, 推进, 匆匆向前",
push through,,"挤过去, 完成",
put across,,"做成, 使被接受, 欺骗",
put an end to,,"结束, 终止",
put aside,,"撇开, 储存...备用",
put away,,"放好, 储存...备用, 抛弃, 放弃",
put behind bars,,"关起来, 监禁; 关押",
put down,,"放下, 不赞成, 镇压, 取缔, 制止, 记下, 贬低, 羞辱, 削减；[法] 放下, 遏止",
put forward,,"放出, 拿出, 提出, 推举出；[法] 放出, 提出",
put in,,"放进, 提出, 提交, 选举, 插入, 种植, 进港, 进入；[经] 提出",
put into effect,,"使生效, 执行...；[经] 执行, 使生效",
put into operation,,使生效；[化] 投入运转,
put into practice,,"实行..., 落实...；[经] 实行, 落实",
put off,,"推迟, 拖延, 搪塞, 阻止, 脱掉, 扔掉, 使分心, 使厌恶, 出航；[经] 推迟",
put on,,"把...放上去, 穿上, 假装, 增加, 上演, 使...上场, 使起作用, 施加于",
put one's heads together,,共同商讨：指两个或多个人一起思考、商讨问题或计划。,
put out,,"放出, 伸出, 生产, 出版, 发布, 熄灭, 消除, 使困扰, 使脱臼, 把...杀出局, 出航；[化] 关; 停止",
put out of action,,"使停止工作, 使失去战斗力",
put over,,"使转向, 推迟, 拖延, 使被接受, 驶过",
put the screws down,,暂无释义，可打开词卡用有道查询,
put the screws on,,胁迫；威逼；对……施加压力,
put through,,"搞成, 接通",
put to,,靠岸,
put to death,,杀死；[法] 处死,
put to the test,,使受试验,
put to use,,"使用, 利用",
put up,,"举起, 抬起, 进行, 推举, 参加竞选, 提供, 建造, 接待, 包装, 公布, 上演；[化] 搭架",
put up with,,"忍受, 容忍；[法] 容忍",
put…in force,,[法] 施行,
quarrel with,,跟...吵架,
queue up,,排队等候,
quite a few,,相当多的,
rack one's brains,,绞尽脑汁,
rack with,/ræk wɪð/,充满，充斥着（负面情绪或感觉）：指某人或某物被负面情绪或感觉所充满或充斥。,
rain cats and dogs,,下倾盆大雨,
rain out,,因下雨取消,
rake up,,耙在一起,
rather than,,与其...不如...,
rather too,,稍微...一点,
rattle off,,adv. 急促背诵地,
rattle on,,v. 喋喋不休地说; 开连珠炮,
reach out,,（使）伸出,
react against,,反抗,
react on,,起作用于,
react to,,作出反应,
reckon in,,把…算进去,
reckon with,,"和...算帐, 认真对付",
reconcile with,,与...和解,
refer oneself to,,"依赖, 求助于",
refer to as,,被称为，被认为,
refer to sb. as,,称呼某人为：用特定的称谓来称呼某个人，通常用于描述对某人的称呼或尊称。,
regarded as,,被认为是，被视为，被看作,
regardless of,,"不注意, 不关心",
register for,,"登记参加,报名参加",
rein in,,"放慢, 止住, 控制",
relative to,,"相对于, 涉及；[计] 相对于",
rely on,,"依赖, 依靠",
remark on,,"评论, 议论",
reply for sb.,,"代表某人作答, 代表某人答辩, 代表某人答谢祝酒",
reply to sb.,,回答某人,
report on,,"报道…,作有关…的报道",
report oneself,,"报到,注册",
resign from,,辞职,
resist to,,抵抗：对抗某事物或某人攻击的行为。,
rest on,,"被搁在, 停留在, 信赖",
result from,,"由...产生；[法] 由于, 由...引起",
result in,,"导致；[法] 产生, 导致",
revolve around,,"旋转, 绕转; 环绕",
ride down,,"践踏, 克服, 骑马赶上",
ride off,,岔开,
ride on,,"乘, 骑, 依靠",
ride out,,"长途骑行; 安然渡过, 经受得住; 安全渡过",
ride over,,"骑马来, 从容胜过, 压制",
right away,,立刻,
ring off,,挂断电话,
ring out,,"鸣钟送别, 打卡下班",
ring up,,"(英)打电话, (美)把款项打在现金收入记录机上, 在现金收入机上记录所付钱款；[计] 环, 圈",
rip apart,,v. 把（某物）撕开，撕碎或彻底摧毁；使（社会、家庭、组织、关系等）分裂，破裂；严厉批评，抨击（某人或某事物，尤指针对其弱点、缺陷）,
rip off,,"撕掉；[法] 抢劫, 抢掠, 诈骗",
rise above,/raɪz əˈbʌv/,v. 克服，摆脱：不让自己受到困难、偏见等不利事物的影响、伤害或控制；超越，胜过：比某人或某事物更好、更出色；升到…之上，超过：向上移动至某位置之上，或温度、数量、水平等升高并超过某一标准。,
rise superior to,,"不为所动, 不受影响",
rise to,,上升到,
rise up,,起义,
roll around,,周而复始,
roll back,,"击退, 把...压低到标准水平；[计] 回溯",
roll in,,蜂拥而来；[电] 转入,
roll into,,"滚进, 卷成, 使合为一体",
roll out,,"铺开, 洪亮地讲出；[电] 滚出",
roll up,,"滚滚上升, 卷起, 到达, 出现, 积累成；[化] 卷起",
root out,,"用鼻拱出, 发现",
rope in,,<非正>说服（某人）（参与某项活动）; 拉拢; 笼络,
round and round,,旋转不息地,
round off,,"完成, 把...修圆磨光；[电] 结束",
round the clock,,连续一整天,
round the corner,,"在拐角处, 在附近, 即将来临",
round up,,"围捕, 使集拢；[经] 综述, 摘要, 使数目恰恰好",
rub away,,"擦掉, 消除",
rub down,,"按摩, 彻底拭擦, 申斥",
rub it in,,"反复讲别人不爱听的事, 反覆讲令人不快之事, 触人痛处",
rub off,,"擦掉, 使减色",
rub out,,擦掉,
rule against,,否决,
rule out,,"划去, 排除, 取消；[经] 排除",
run a risk,,冒险,
run across,,"偶遇, 跑着穿过",
run after,,"追捕, 追求, 照顾",
run away with,,"带...潜逃, 轻易获得, 消耗, 轻易接受, 失控；[法] 潜逃, 同...私奔",
run down,,"跑下, 用完, 停止, 逐渐恶化, 撞倒, 搜索到, 追溯, 贬低；[法] 停止, 诽谤, 搜捕",
run into,,"跑进, 撞上, 遭遇, 陷入, 达到",
run off,,"逃跑, 流掉, 进行决赛, 进行；[经] 市场上最后一笔交易, 最后价格",
run off with,,与……私奔：离开某人或某地与某人私奔并建立性关系。；偷走：带走某物，尤指未经允许带走并占为己有。；轻松获胜：轻松赢得某物。,
run one's eyes over,,"浏览, 扫视",
run out,,"跑出, 离开, 流逝, 期满, 被用完, 被放出去, 伸向, 逐出；[法] 背弃, 遗弃, 逃避",
run out from,/rʌn aʊt frəm/,从……跑出来：从某个地方或某个物体中快速跑出来。,
run out of,,用完,
run over,,"跑过去, 溢出, 超过限度, 扼要复述, 匆匆看, 辗过；[化] 沸腾翻出",
run through,,"跑着穿过, 刺, 戳, 排练, 挥霍, 贯穿",
run to,,"跑向, 达到, 发展到, 趋向",
run up,,"向上跑, 赶制, 迅速积累, 升, 高涨；[经] (债款等)迅速累积, 台高(价格),(物价)高涨",
run up against,,"意外地碰到, 偶遇, 撞上",
run upon,,"偶遇, 撞上",
rush into,,仓促行动,
rush out,,仓促地跑出; 赶着生产出; 冲出,
rush through,,"匆忙做完,草草完成;掠过",
safe and sound,,安然无恙的,
save for,,存钱作…之用,
save on,,"节省,节约",
save up,,"储蓄, 贮存",
scale down,,[计] 按比例缩小；[化] 按比例缩小,
scheme out,,设计出,
scrape by,,靠…勉强度日,
scrape through,,勉强通过,
scrape together,,"积蓄,凑集,勉强凑足",
scrape up,,"积攒, 拼凑到",
screw up,,"拧紧, 鼓舞, 振作",
seal off,,把...封锁起来；[经] 封印破损,
search after,,"探索, 寻找",
search out,,寻找到,
second to none,,首屈一指,
see about,,"查询, 留意于, 料理",
see eye to eye,,"完全一致, 有相同的看法",
see for oneself,,亲眼看,
see off,,送行，送别; 把（某人）赶走; 欢送,
see out,,"送某人出门;看完,坚持到底",
see red,,火冒三丈,
see sb. off,,给某人送行,
see sb. through,,帮助(某人)渡过...,
see that,,"注意,必须做到,保证",
see through,,"看穿, 识破",
see to,,"负责, 注意",
see to it that,,照料好,
see with,,同意,
seeing that,,"conj. 鉴于, 既然",
seek out,,"搜出, 挑出",
seize hold of,,"抓住, 占领",
seize on,,"抓住, 占有",
seize up,,中止,
seize upon,,抓住，抓紧：突然、强制或紧紧抓住（一个物体）。；采纳，接受：迅速接受、理解和采纳（一个计划、想法、意识形态、事业、实践方法等）。；吸收，吞并：将（一个想法、人物、事件等）视为自己的，吸收、吞并、吸纳、并用于自己的目的。,
sell off,,"廉价卖清；[经] 廉价出清(存货),(证券的)跌价",
sell on,,使人想买,
sell out,,"卖完, 出卖, 背叛；[经] 卖完, 出售货物, 商品售缺",
sell up,,"卖完, 为还债而变卖",
send away,,"发送, 打发走, 解雇",
send away for,,函购某物,
send for,,"召唤, 派人去拿",
send in,,"递送, 命(或请)...进来",
send off,,"寄出, 派遣, 给...送行",
send off for,,函购某物,
send out,,"发送, 派遣, 放出",
send round,,"传阅, 发送, 派遣",
send up,,"发出, 射出, 呈交, 使上升",
serve as,,"被用作..., 充当..., 起...的作用",
serve out,,"分发,分配",
serve up,,端上桌; 上菜; 提供; 发送,
set about,,"开始, 散布；[法] 着手, 开始",
set against,,"用...抵消, 使对立, 反对",
set apart,,"使分离, 留出",
set aside,,"留出, 不顾, 取消, 驳回；[法] 撤销, 废止, 宣告无效",
set back,,"阻碍, 使受挫折, 往回拨",
set down,,"放下, 使下车, 使着陆, 记下, 登记, 把...归于, 把...看作, 制定；[法] 放下, 卸下, 写下",
set fire to,,点燃,
set forth,,"阐明, 宣布, 提出, 陈列, 出发；[法] 陈述, 阐明, 宣布",
set free,,"释放；[法] 释放, 使获自由",
set in,,"开始, 到来, 上涨, 插入, 流行",
set light by,,轻视,
set off,,"出发, 开始, 引起, 衬托, 点缀, 抵销, 分开, 划分；[法] 抵销",
set on,,"攻击, 前进, 怂恿, 使开始",
set one's heart on,,全心全意追求：强烈渴望并全心全意追求某事物。,
set oneself against,,"坚决反对；[法] 坚决反对, 坚决与...对立",
set oneself up as,,以...自居,
set out,,"出发, 开始, 陈列, 宣布, 陈述, 栽种, 设计...的布局, 测定；[法] 发表, 宣布, 打算",
set the ball rolling,,开始活动,
set up,,设立；[化] 调定; 装置妥; 装置妥当; 装置; 装备; 建立,
settle down,,"使舒服地坐下, 定居, 平静下来, 专心于",
settle for,,满足于,
settle in,,在新居安顿下来,
settle into,,有头绪，上正轨,
settle on,,"决定, 选定; 看中; 看上; 相中",
settle one's account,,结清账款：指支付欠款，使账户余额为零。,
settle up,,"付清, 了结",
settle upon,,决定，选定：指做出决定或选择某个特定的事物。,
sew up,,"缝合, 缝入, 解决, 决定",
shade into,,v. 渐渐变为,
shake down,,"摇落, 临时搭铺, 适应新环境；[法] 敲诈, 勒索, 搜查",
shake hands with,,和…握手,
shake off,,"抖落, 摆脱",
shake up,,"摇匀, 摇松, 摇醒, 重组, 震动, 震惊",
shape up,,"成形, 形成, 顺利发展",
shoot at,,"向...射击, 力争",
shoot away,,"继续射击, 射完",
shoot down,,击落,
shoot out,,"射出, 伸出, 抽出",
shoot up,,"射出, 发芽, 暴涨",
shop around,,"逐店进行搜购, 到处寻找好职业, 到处寻找好主意",
shoulder to shoulder,,"肩并肩地, 齐心协力地",
shout down,,大声呼喊使不能继续讲下去,
shove off,,"开船, 离开",
show in,,"领进来,引进",
show off,,"炫耀, 卖弄, 使显眼",
show up,,"揭露, 露出, 露面",
shrug away,,耸肩摆脱：表示对某事不屑一顾或不予理睬的动作，通过耸肩表示对某事的不关心或不在意。,
shrug off,,"耸肩表示蔑视, 抖落, 摆脱",
shut away,,关起来,
shut down,,关闭；[化] 停产; 停车; 停炉; (发动机)熄火,
shut in,,"关进, 禁闭, 降临",
shut off,,"关掉, 切断；[化] 截断(电流)",
shut out,,"关在外面, 遮住, 防止, 使不能得分",
shut sth. down,,关闭某个业务或大型设备，或者有人关闭它，使其停止运行：指将某个业务、大型设备等停止运行，通常是通过关闭开关或执行特定的操作来实现。,
shut up,,"关闭, 监禁, 住口, 保藏",
side by side,,"并排, 并肩",
side walk,/saɪd wɔːk/,人行道：位于道路边缘的供行人步行的区域，通常由水泥或石板铺成。,
sign away,,签字放弃,
sign for,,签领,
sign in,,"签到, 签收；[计] 注册",
sign off,,"停止广播, 停止活动",
sign on,,"签约雇用, 开始广播",
sign out,,签名登记离开,
sign up,,"签约参加工作, 签约雇用",
sign up for,,报名参加：注册或报名参加某项活动、课程、会议等。；注册：创建一个账户或成为某个组织的成员。,
single out,,挑选; 抉,
sit around,,"坐着不干, 袖手旁观",
sit back,,"不采取行动, 向后靠着坐",
sit by,,"坐在旁边, 守护照料, 无动于衷",
sit on,,"为...的一员, 开会讨论, 审理, 拖延, 管教；[法] 调查, 询问, 占有一席次",
sit out,,"袖手旁观, 比...坐得久, 坐到结束, 坐在户外",
sit up,,"坐起, 端坐, 熬夜, 诧异",
size up,,"估计, 合格",
sketch out,,"草拟, 概略地叙述",
skim over,,"掠过, 滑过, 浏览",
sleep off,,用睡觉消除,
sleep through,,睡过头,
slide into,,不知不觉陷入,
slide over,,"回避, 略过",
slip by,,荏苒；蒙混过关,
slip in,,悄悄溜入；偷偷溜进去,
slip through,,悄悄通过,
slip up,,"疏忽；[法] 犯错误, 失误, 疏忽",
slow down,,(使)慢下来,
slow up,,(使)慢下来,
smell about,,"到处寻找, 到处嗅寻",
smell of,,有...的气味,
smell out,,嗅出,
smile on,,对...赞许,
smooth out,,"消除, 使平滑",
snap out of,,摆脱：停止处于或使（某人）停止处于（不快的状态、情绪、白日梦等）。；清醒过来：突然停止（做白日梦等）；突然恢复清醒。；振作起来：停止陷入（不快的状态、情绪等）。,
snap up,,抢购,
sneak in,,偷偷地走进；[法] 潜行进入,
sniff out,,"发现, 寻找",
so and so,/ˈsəʊ ən səʊ/,某人或某物：用于指代某人或某物，但不具体提及其姓名或名称。通常用于表示不满、轻蔑或不耐烦的情绪。,
so as to,,"使得, 以致",
so far,,迄今为止,
so far as,,"远至…;就…来说,在…范围内,至于",
so long as,,只要,
so much as that,/soʊ mʌtʃ æz ðæt/,甚至更多，更进一步地,
so that,,所以,
so to speak,,"可以这么说, 打个譬喻说",
something else,,别的东西,
something like,,"有几分象, 有些象",
something of,,"在某种意义上, 在某种程度上",
sooner or later,,迟早,
sort of,,有几分地,
sort out,,挑选出,
sort things out,,整理事物：解决问题或混乱的情况，使其变得有序或清晰。,
space out,,隔开,
speak for,,"代表...讲话, 要求得到, 订购",
speak for itself,,不言而喻,
speak for themselves,,自证不疑：某些事实或证据已经足够明显，不需要进一步解释或证明。,
speak out,,"大胆地说, 大声地说",
speak up,,"更大声地说, 大胆说出, 无保留地说出",
speak volume for,,充分说明,
speak well for,,证明...很好,
speed up,,加速；[经] 加速,
spell out,,"讲清楚, 清楚地说明",
spin out,,"消磨, 拖延",
spirit away,,"偷走, 拐走",
spit out,,吐出…; 愤怒地说; 唾,
split up,,<非正>瓜分; 劈成; （使）分成若干小部分; <非正>（使）断绝关系,
spot on,,"完全正确的; 精确的, 准确的",
spread out,,"伸展, 延长; 分散; 铺设; 衍",
spring up,,出现,
square off,,摆出自卫或攻击的架式,
square up,,"清帐, 摆好架势；[经] 清帐, 结算清楚",
stab in the back,/stæb ɪn ðə bæk/,背后一刀：指在关键时刻背叛或出卖某人，特别是在他们最需要支持的时候。,
stamp on,,"踩踏, 阻拦",
stamp out,,"扑灭, 踩灭",
stand a chance,,"有可能, 有希望",
stand a chance of,,有可能：有成功或获胜的可能性。；没有机会：没有成功或获胜的机会。,
stand by,,"支持, 遵守, 袖手旁观, 准备行动；[经] 备用, 支持, 作好准备",
stand down,,"离开证人席, 退出, 顺潮航行；[法] 离开证人席, 退休, 撤退",
stand for,,"代表, 代替, 象征, 支持, 担任...的候选人；[法] 代替, 代表, 拥护",
stand in,,"代演员站位, 使花费",
stand in awe of,,"敬重,敬畏…",
stand in for sb.,,代替某人：暂时代替某人担任职责或角色。,
stand in one's way,,阻止某事或某人的发展或实现：指阻碍某人或某事物的进展或成功。,
stand off,,"疏远, 离岸, 避开；[法] 避开, 不接近, 临时解雇",
stand on,,站立在...上,
stand out,,"突出, 坚持抵抗",
stand the test,,经受住考验,
stand up,,"站起来, 竖立, 站得住脚, 经得起",
stand up for,,"支持；[法] 坚持, 维护, 辩护",
stand up to,,"经得起..., 勇敢地面对, 抵抗",
start off,,"出发, 开始",
start up,,"突然站起, 突然出现, 发动, 开动",
stay on,,继续停留,
stay out,,呆在户外,
stay put,,"装牢, 留在原处不动",
stay up,,不睡觉,
stay up late,,深夜不睡，迟睡; 熬夜,
steal away,,溜掉,
steam up,,"促进, 使发怒, 使有蒸汽",
steer clear of,,"避开, 绕开",
step aside,,避开,
step by step,,逐步地,
step down,,"走下, 逐步减低, 辞职, 下台",
step in,,"走进, 干涉, 作短时间的非正式访问",
step up,,"走近, 逐步增加, 提升, 提高",
stick around,,逗留,
stick at,,"迟疑, 犹豫, 坚持",
stick by,,忠于,
stick one's nose into,,干涉或试图干预与自己无关的问题：指某人插手或干涉与自己无关的事务或问题。,
stick out,,"(使)突出, (非正式)明显, 醒目",
stick out for,,坚持索取,
stick to,,粘住,
stick together,,"团结友爱, 互相支持",
stick up for,,"支持, 维护",
stick with,,继续做; 跟着…; 插满,
stir up,,"激起, 鼓动, 煽动；[化] 搅拌",
stock up,,备货,
stop by,,顺便访问,
stop off,,"中途停留；[机] 虚筋, 挡块",
stop over,,[经] 中途停留,
store up,,"储存,积聚",
stray away from,/streɪ əˈweɪ frəm/,远离，偏离：离开某个原本应该遵循的方向或行为准则。,
stretch out,,"伸手, 开始大踏步走",
strike off,,"击断, 删去, 印出；[经] 勾销, 取销",
strike out,,"狠打, 冲压成, 产生, 勾掉；[法] 打击, 搞出, 设计出",
strike up,,"开始演奏, 建立起, 使开始",
string along,,"欺骗, 引入歧途",
string out,,"排列成行, 拖延时间",
string up,,"使兴奋, 使敏感",
strip off,,"剥去,脱去,除去",
struggle against,,与…进行斗争,
struggle for,,为…而斗争,
stuff up,,"塞满,堵塞",
stuff with,,把…塞满,
subject to,,"使服从, 使遭受；[经] 有待查实, 受限于, 由于",
substitute for,,"代替…,替换…,取代…",
succeed in,,在...方面成功,
such as,,"例如..., 像这种的",
suck up,,吸收,
suffer from,,"忍受, 遭受；[法] 患...病, 苦于, 因...损害",
suffer with,,遭受痛苦或困扰：经历或忍受某种不愉快的情况、疾病或困难。,
sum up,,"计算...的总数, 概括, 总结；[法] 总结, 概述",
sure enough,,"果然, 果真",
swear by,,"对...发誓, 信赖",
swear in,,使宣誓就职；[法] 使宣誓就职,
swear off,,发誓戒除；[法] 立誓弃绝,
sweep clean,/swiːp kliːn/,彻底打扫：指将某个地方或空间清理得非常干净，没有任何杂物或灰尘。,
sweep off,,"扫去, 大量清除",
switch off,,切断；[电] 断接,
switch on,,接通；[化] 接通,
tag along,,尾随,
tail after,,"跟踪, 追随",
tail off,,"缩小, 变少",
take a chance,,冒险,
take a delight in,/teɪk ə dɪˈlaɪt ɪn/,喜欢，乐于：对某事或某人感到非常高兴和满意。,
take a dislike to,/teɪk ə dɪsˈlaɪk tu/,对……产生厌恶：对某人或某事物产生厌恶或不喜欢的感觉。,
take a fancy to,,喜欢,
take a hand in,,"参与,介入",
take account of,,考虑,
take action,,"采取行动, 提出诉讼",
take advantage of,,"v. 利用；欺骗, 占…的便宜",
take after,,"像, 学样；[法] 象, 相似, 追赶",
take against,,反对,
take apart,,拆开,
take away,,取走,
take back,,"送还；[法] 撤消, 撤回, 重新获得",
take care,,"当心, 小心; 坚持到底",
take care of,,"照顾；[法] 抚养, 赡养, 扶养",
take care over,,暂无释义，可打开词卡用有道查询,
take charge,,"看管, 负责, 不受控制",
take charge of,,"掌管..., 负责..., 看管..., 不受...控制；[法] 负起管理之责, 失去控制",
take cover,,"隐蔽, 躲藏",
take delight in,,乐于,
take down,,"拿下, 记下, 拆卸, 病倒；[法] 纪录, 拆毁, 病倒",
take effect,,"见效, 生效；[法] 生效",
take exception to,,反对；[法] 对...表示反对,
take for,,"认为, 以为；[法] 当作, 误认为",
take for granted,,[法] 认为当然,
take full advantage of,,充分利用,
take hold,,（如通过抓握来）夺取; 扎根,
take hold of,,握住,
take in,,"接受, 接待, 吸收, 改小, 理解, 注意到, 包括, 轻信, 欺骗, 观看, 拘留；[法] 收容, 了解, 接受",
take in one's stride,,应对不幸的事情而不费力地应对：能够很好地接受或处理困难。,
take interest in,,对…发生兴趣,
take into account,,"重视, 考虑",
take into consideration,,考虑到,
take issue with sb.,,与某人有分歧：表示与某人在某个问题上持有不同意见或观点。,
take it easy,,"从容, 不紧张",
take it seriously,,认真对待：对某事或某人采取认真的态度或行动。,
take leave of,,"向...告别, 从...离去",
take legal action,,[法] 起诉,
take note of,,注意到,
take notes,,作笔记,
take notice,,注意,
take notice of,,注意到; 在意; 睬; 理睬,
take off,,"拿掉, 取消, 脱下, 领走, 减去, 复制, 起飞, 离开, 岔开；[经] 取消",
take on,,"呈现, 具有, 雇用, 接纳, 承担, 同...较量, 流行, 盛气凌人",
take one's breath away,,"使某人大吃一惊, 使某人说不出话来",
take one's chance,,碰运气,
take one's measure,,"给某人量尺寸, 估量某人的品格, 估量某人的能力, 掂某人的分量",
take oneself off,,离开,
take order to do,,采取适当手段去做：指采取适当的方法或措施来完成某事。,
take order with,,"安排, 处理",
take out,,"拿出, 取出, 去掉, 扣除, 发泄, 抵充, 取得, 出发；[化] 取出",
take out loans,,借贷：从银行、金融机构或个人处借款的行为。,
take over,,"接收, 接管；[法] 接管, 接受, 让受",
take pains,,"尽力, 耐心",
take part in,,"参与, 参加；[经] 参加, 参与",
take part with,,"支持, 站在...一边；[经] 与...合作, 协助",
take place,,发生,
take possession of,,"占有, 占领",
take pride in,,以...为傲,
take sb. to task,,"责备某人, 责骂某人, 申斥某人",
take steps,,[经] 采取措施,
take stock of,,"估计, 察看；[经] 估量, 观察",
take the lead,,"为首, 带头",
take the place of,,代替；[法] 代替,
take the road,,"选择特定道路, 出发",
take the road of,,占先,
take thought for,,担心,
take time,,从容进行,
take to,,"开始, 喜欢, 沉溺于, 走向",
take to one's heels,,开始逃跑,
take turns,,"轮流, 依次",
take up,,"拿起, 开始从事, 继续, 接纳, 吸收, 占据, 拘捕, 承兑, 认购, 绷紧；[经] 付清, 承兑(汇票), 认购(债券等)",
take…by surprise,,"使吃惊, 奇袭, 撞见",
talk back,,"顶嘴, 反驳",
talk down to,/tɔːk daʊn tu/,对某人说话时过于简单，暗示他/她不聪明：指以一种过于简单的方式与某人交谈，暗示他/她不聪明。,
talk into,,说服（某人）做（某事）,
talk out,,"把...谈透, 通过商谈消除分歧, 响亮地说",
talk out of,,劝服（某人）不做（某事）,
talk over,,"商量, 讨论, 说服；[法] 以口才使改变立场, 商量, 讨论",
talk up,,"大声讲, 大胆讲, 赞扬",
talk with,,"与...交谈, 想说服",
tangle with,,"v. 吵架, 争论",
taste of,,"有...味道, 体验, 吃一点...",
teach a lesson,,给…一个教训,
teach school,,教书,
team up,,"合作, 协作",
tear apart,,扯开; 把…弄乱; 使心碎; 把…痛苦地分开,
tear at,,撕扯,
tear away,,勉强使离开; 硬行拉走,
tear down,,"扯下, 拆卸, 逐条驳斥, 诋毁",
tear into,,"洞穿, 猛攻",
tear off,,"扯掉, 跑掉, 匆匆写成",
tear up,,撕成碎片; 挖开（地面等）; 撕掉; 撕毁,
telephone to sb.,,打电话给某人,
tell a white lie,,说善意的谎言；说了一个善良的谎言,
tell about,/tel əˈbaʊt/,告诉（某人）有关（某人或某事）的情况；讲述；介绍,
tell apart,,分辨,
tell from,,辨别,
tell off,,"分派出, 责备",
tell on,,告发; 产生（坏的）影响,
tend to,,"注意, 趋向",
thanks to,,由于,
that is,,(作插入语)那就是,
that is to say,,"(作插入语)那就是说, 即是, 换言之, 换句话说",
the mass of,,主要部分：某物的主要部分。,
the moment that,,在某个特定的时刻：表示某个事件或情况发生的具体时间点。,
the more…the more…,,"愈...愈..., 越...越...",
the other day,,不久前某一天,
the rank and file,,"普通士兵们, 老百姓",
the same as,,"与...相同, 与...一致",
then and there,,"当时当地, 当场就",
there and then,,"当时当地, 当场就",
think back,,回想,
think back to,/θɪŋk bæk tu/,回想起，回忆起,
think better of,,"重新考虑后决定不做, 经考虑...改变主意；[法] 改变...的念头",
think nothing of,,把...看得很平常,
think of,,"考虑, 关心, 想起, 记起, 想像, 有...的看法",
think of…as,,把...看作,
think out,,"彻底思考, 设计出",
think over,,仔细考虑,
think through,,彻底地全面考虑,
think twice,,重新考虑,
think up,,"想出, 发明",
through and through,,"完全, 彻底",
throw about,,"到处扔, 舞动",
throw away,,丢弃,
throw doubt upon,,产生怀疑,
throw in,,"扔进, 接合, 啮合, 入伙, 参加合伙经营",
throw light on,,"照亮,阐明,使理解,启迪",
throw light on sth.,,"把光射在某物上, (喻)有助于理解某事物",
throw light upon,,阐明，解释：提供信息或解释以帮助理解或澄清某个问题或情况。,
throw off,,"扔开, 摆脱, 匆匆脱下",
throw out,,"伸出, 扔掉, 说出, 解雇, 拒绝, 显示, 散发出, 放出, 派出, 使延伸, 打扰, 使出局；[法] 否决, 发表, 拒绝",
throw over,,"抛弃, 使覆盖；[法] 放弃, 遗弃, 拒绝",
throw up,,"呕吐, 猛地举起, 放弃, 产生, 使显眼",
thumb down,/θʌm daʊn/,否决：拒绝；不同意。,
tidy away,/ˈtaɪdi əˈweɪ/,整理收拾：将（某物）放置在适当的位置，使场所整洁。,
tie down,,"束缚；[法] 限制, 约束",
tie in with,/taɪ ɪn wɪð/,与……相关联：与某人或某群体建立联系。,
tie up,,"绑好, 缚牢, 包扎, 停泊, 阻碍, 合伙, 密切联系, 占用；[法] 罢工, 停滞",
tighten up,,"使紧密, 加强; 收紧",
time after time,,"多次, 反复, 不断地",
time and again,,反复地,
tip off,,"向...泄露, 暗中通知某人",
tire out,,使十分疲劳,
to a certain extent,,在某种程度上,
to a day,,一天也不差,
to advantage,,"(使优点)突出, 有利, 效果好, 更加",
to all appearances,,"就外表来看, 显然",
to and fro,,来回,
to be on the safe side,,为了安全起见；为了保险起见,
to begin with,,首先,
to date,,迄今为止,
to death,,极度,
to excess,,过度,
to go,,"剩下, 还有",
to one's credit,,"入某人帐户的贷方, 为某人带来荣誉",
to one's knowledge,,据某人所知,
to say nothing of,,"更不待言, 以及",
to say the least,,退一步说,
to some degree,,有点，稍微; 在某种程度上,
to some extent,,在某种程度上,
to spare,,"多余的,备用的",
to speak of,,值得一提的,
to start with,,"作为开始, 首先",
to the best of one's ability,,尽力而为：尽力做到最好的程度。,
to the contrary,,相反地,
to the core,,直至核心,
to the effect that,,"大意是, 以便",
to the end of time,,永远,
to the fore,,"在近处, 在手头, 在前面",
to the full,,"完全地, 充分地",
to the letter,,"严格按照字句, 不择不扣地",
to the life,,逼真地,
to the limit,,adv. 到顶点; 尽,
to the number of,,达到...的数目,
to the point,,"中肯, 扼要",
to the tune of,,"达到...数量, 价格达...",
to the utmost,,极度,
together with,,"和, 加之",
