序号,单词,音标,词性,中文释义,英文例句,分类,小节
5,native,/ˈneɪtɪv/,adj.,本地的,Her native language is Korean. 她的母语是韩语。,Level 2,Day 10
6,border,/ˈbɔːrdər/,n.,边界 98<< 零基础词汇讲义Level 2 10,,Level 2,Day 10
7,attract,/əˈtrækt/,v.,吸引,The exhibition has attracted thousands of visitors. 展览吸引了成千上万的参观者。,Level 2,Day 10
8,attractive,/əˈtræktɪv/,adj.,吸引人的,She's a very attractive woman. 她是一个非常有 魅力的女人。 your 9. visitor /ˈvɪzɪtər/ | We've got visitors coming this weekend. 本周末 我们有客人来访。,Level 2,Day 10
10,distance,/ˈdɪstəns/,n.,距离；远方,What's the distance between New York City and Boston? 纽约市离波士顿有多远？,Level 2,Day 10
11,route,/ruːt/,n.,路线,the route to success 成功之路,Level 2,Day 10
12,vehicle,"/ˈviːəkl,ˈviːhɪkl/",n.,车辆,Are you the driver of this vehicle?你是这辆汽车 的驾驶员吗？,Level 2,Day 10
13,spot,/spɑːt/,n.,地点；场所,a tourist spot 旅游景点 | I finally spotted my friend in the crowd.我终于在 人群中看见了我的朋友。 | Try not to excite your baby too much before bedtime.睡觉前尽量别使宝宝太兴奋。,Level 2,Day 10
15,wonderful,/ˈwʌndərf(ə)l/,adj.,极好的，精彩的,We had a wonderful time last night. 我们昨晚过 得非常愉快。,Level 2,Day 10
16,fashion,/ˈfæʃn/,n.,时尚,Some styles never go out of fashion. 有些款式永 远不会过时。,Level 2,Day 10
17,photograph,/ˈfoʊtəɡræf/,n.,照片,take photographs 拍摄照片,Level 2,Day 10
18,occasion,/əˈkeɪʒn/,n.,时机；场合,He was improperly dressed for the occasion. 衣着不大适合这个场合。,Level 2,Day 10
19,expand,/ɪkˈspænd/,,,A child's vocabulary expands through reading.,Level 2,Day 10
20,annual,/ˈænjuəl/,adj.,每年的；年度的,an annual meeting 年会,Level 2,Day 10
21,extra,/ˈekstrə/,adj.,额外的,I can't take on any extra work. 我不能承担任何 额外工作。,Level 2,Day 10
22,expense,/ɪkˈspens/,n.,费用；代价,Running a car is a big expense.养一辆车开销很大。 | He built up the business at the expense of his health.他以自己的健康为代价建立起这个企业。,Level 2,Day 10
23,satisfy,/ˈsætɪsfaɪ/,v.,令人满意；满足,This 会让所有人都满意。,Level 2,Day 10
24,brand,/brænd/,n.,品牌,You pay less for the supermarket's own brand .超 市自己品牌的东西要便宜些。,Level 2,Day 10
25,label,/ˈleɪb(ə)l/,n.,标签,price labels 价格标签 | The produce was labelled “Made in China”. 他的 该产 品上贴有“中国制造”的标签。,Level 2,Day 10
26,count,/kaʊnt/,v.,数,,Level 2,Day 10
27,afford,/əˈfɔːrd/,v.,买得起,Can we afford a new car? 我们买得起一辆新车吗？,Level 2,Day 10
28,discount,/ˈdɪskaʊnt/,n.,折扣,All full-time staff get a 20 percent discount. 全职员工都可以享受8 折优惠。,Level 2,Day 10
29,gift,/ɡɪft/,,,The watch was a gift from my mother. 这块表是 | She has a great gift for music. 她极有音乐天赋。,Level 2,Day 10
30,pack,/pæk/,v.,收拾(行李),"When I was 17, I packed my bags and left home. 在我17 岁的时候，打起行囊离开了家。",Level 2,Day 10
31,package,/ˈpækɪdʒ/,n.,包裹,A large package has arrived for you. 你有一个大 包裹来了。,Level 2,Day 10
32,distribute,/dɪˈstrɪbjuːt/,v.,分发；分配,The newspaper is distributed free. 这份报纸免费 发送。,Level 2,Day 10
33,delivery,/dɪˈlɪvəri/,n.,传送；递送,Allow 28 days for delivery. 请留出28 天送货 100<< 零基础词汇讲义Level 2,Level 2,Day 10
34,awake,/əˈweɪk/,adj.,醒着的,I was still awake when he came to bed. 他就寝时 我还没有入睡。 | I awoke from a deep sleep. 我从沉睡中醒来。,Level 2,Day 10
35,amuse,/əˈmjuːz/,v.,所有 逗笑,I'm sure I'll be able to amuse myself for a few hours. 我相信我能自娱自乐几个小时。,Level 2,Day 10
36,vocal,/ˈvoʊk(ə)l/,adj.,嗓音的；直言不讳的,vocal music 声乐 | He has been very vocal in his criticism of the government's policy. 他对政府政策的批评一直是直 言不讳。,Level 2,Day 10
37,camera,/ˈkæm(ə)rə/,n.,照相机,Did you pack the camera?你装进照相机了吗？,Level 2,Day 10
38,entry,/ˈentri/,n.,进入；入口,The children were surprised by the sudden entry of their teacher. 老师突然进来使孩子们感到意外。,Level 2,Day 10
39,exit,/ˈeksɪt/,n.,出口,fire exit 消防通道,Level 2,Day 10
40,band,/bænd/,n.,乐队,a rock band 摇滚乐队,Level 2,Day 10
1,independent,/ˌɪndɪˈpendənt/,adj.,独立的；自主的,He was very independent. 他非常独立。,Level 2,Day 11
2,guide,/ɡaɪd/,n.,指南,She guided us through the busy streets. 她带领 我们穿过繁忙的街道。,Level 2,Day 11
3,instruction,/ɪnˈstrʌkʃ(ə)n/,n.,指令；操作指南,Follow the instructions on the packet carefully.仔 细按照包装上的说明操作。,Level 2,Day 11
4,complex,/kəmˈpleks/,adj.,复杂的,a complex problem 复杂难懂的问题,Level 2,Day 11
5,tough,/tʌf/,adj.,艰苦的；严厉的,a tough childhood 苦难的童年 | It was a tough decision. 线｜教研团队 那是个很艰难的决定。,Level 2,Day 11
6,terrible,/ˈterəb(ə)l/,adj.,糟糕的 11,,Level 2,Day 11
7,error,/ˈerər/,n.,错误,There are too many errors in your work.你的工作 失误太多。,Level 2,Day 11
8,mistake,/mɪˈsteɪk/,n.,错误,"Don't worry, we all make mistakes. 没关系，我 们都会犯错。",Level 2,Day 11
9,fault,/fɔːlt/,n.,责任；过失；缺陷,It's your own fault for being careless. 你粗心大意 是你自己的过失。 | an electrical fault 电路故障,Level 2,Day 11
10,struggle,/ˈstrʌɡ(ə)l/,v.,奋斗；努力；搏斗,People struggle to get the best piece of land. 人们 竞相争夺最好的一块土地。,Level 2,Day 11
11,confuse,/kənˈfjuːz/,,,,Level 2,Day 11
12,blame,/bleɪm/,v.,指责,Police are blaming the accident on dangerous driving. 警方把事故原因归咎于危险驾驶。,Level 2,Day 11
13,escape,/ɪˈskeɪp/,v.,逃跑；摆脱,Two prisoners have escaped. 两名犯人逃走了。,Level 2,Day 11
14,excuse,/ɪkˈskjuːs/,n.,借口,Late again! What's your excuse this time? 又迟到 了！你这次有什么借口？,Level 2,Day 11
15,complain,/kəmˈpleɪn/,v.,抱怨；发牢骚,I wrote them a letter to complain. 我给他们写信 抱怨了一通。,Level 2,Day 11
16,complaint,/kəmˈpleɪnt/,n.,抱怨；投诉,You have no grounds for complaint. 你没有理由 抱怨。,Level 2,Day 11
17,complicated,/ˈkɒmplɪkeɪtɪd/,adj.,复杂的,The instructions look very complicated.这说明书 看起来很难懂。,Level 2,Day 11
18,faith,/feɪθ/,,,We've lost faith in the government's promises.,Level 2,Day 11
19,beat,/biːt/,v.,打,The rain beat against the windows.雨点击打着窗户。,Level 2,Day 11
20,weak,/wiːk/,adj.,虚弱的,She is still weak after her illness. 她病后仍然虚弱。 | The economy is very weak. 经济十分萧条。,Level 2,Day 11
21,powerful,/ˈpaʊərf(ə)l/,adj.,强大的,a rich and powerful man 一个有钱有势的人,Level 2,Day 11
22,enhance,/ɪnˈhæns/,v.,提高；增强,This is an opportunity to enhance the reputation of the company.这是提高公司声誉的机会。,Level 2,Day 11
23,compete,/kəmˈpiːt/,v.,竞争,We can't compete with them on price. 我们在价 格上无法与他们竞争。,Level 2,Day 11
24,capable,/ˈkeɪpəb(ə)l/,adj.,有能力的,She's a very capable speaker. 她是一个非常有能 力的演说者。,Level 2,Day 11
25,efficient,/ɪˈfɪʃ(ə)nt/,adj.,效率高的,the efficient use of energy 能源的有效利用,Level 2,Day 11
26,constant,/ˈkɑːnstənt/,adj.,不断的；不变的,a constant stream of visitors all day 整天络绎不绝 的游客,Level 2,Day 11
27,corner,/ˈkɔːrnər/,,,,Level 2,Day 11
28,select,/sɪˈlekt/,v.,选择；挑选,He hasn't been selected for the team. 他未能入选 进队。,Level 2,Day 11
29,selection,/sɪˈlekʃ(ə)n/,n.,选择 总有很多种美味佳肴可供选择。,,Level 2,Day 11
30,equal,/ˈiːkwəl/,adj.,平等的,equal rights 平等的权利 | The company has an equal opportunities policy. 这家公司的政策是人人机会均等。,Level 2,Day 11
31,hobby,/ˈhɑːbi/,n.,业余爱好,"My hobbies are letter writing, music, photography, and tennis. 我的业余爱好是写信、音乐、摄影和网球。",Level 2,Day 11
32,defeat,/dɪˈfiːt/,v.,击败,You must learn to accept defeat. 你必须学会承 认失败。,Level 2,Day 11
33,stick,/stɪk/,v.,刺,The dog caught the stick in its mouth. 狗衔住了 木棍。 | stick to 坚持( I managed to stick to the diet. 我设 法坚持节食。),Level 2,Day 11
34,pursue,/pərˈsuː/,v.,追求,He continued to pursue his goal of becoming an actor. 他继续追求他成为演员的目标。,Level 2,Day 11
35,perfect,"/ˈpɜːrfɪkt , pərˈfekt/",adj.,完美的,"As a musician, she has spent years perfecting her technique. 身为音乐家，她多年来不断在技艺上精 益求精。",Level 2,Day 11
36,yield,/jiːld/,v.,出产(作物)；产生(收益、效益等)；屈服,The research has yielded useful information. 这项 研究提供了有用的资料。,Level 2,Day 11
37,outcome,/ˈaʊtkʌm/,n.,结局；成果,We are confident of a successful outcome. 我们 相信会有圆满的结果。,Level 2,Day 11
38,succeed,/səkˈsiːd/,v.,实现目标；成功,Our plan succeeded. 我们的计划成功了。,Level 2,Day 11
39,victory,/ˈvɪktəri/,n.,胜利；成功,win a victory 获得胜利,Level 2,Day 11
40,famous,/ˈfeɪməs/,adj.,著名的,He dreams of being a famous journalist. 他梦想 成为一个有名的记者。,Level 2,Day 11
1,inform,/ɪnˈfɔːrm/,v.,通知,Please inform us of any changes. 若有变动请随 时通知我们。,Level 2,Day 12
2,recommend,/ˌrekəˈmend/,v.,推荐,I recommend the book to all my students.我向我 所有的学生都推荐这本书。,Level 2,Day 12
3,advise,/ədˈvaɪz/,v.,建议,The minister advised him to leave as soon possible. 部长建议他尽快离开。,Level 2,Day 12
4,advice,/ədˈvaɪs/,n.,建议,Follow your doctor's advice. 要遵从医嘱。,Level 2,Day 12
5,adopt,/əˈdɑːpt/,v.,采取；收养,to adopt a child 领养孩子 | The council is expected to adopt the new policy. 线｜教研团队 委员会有望采取这项新政策。,Level 2,Day 12
6,requirement,/rɪˈkwaɪərmənt/,,,,Level 2,Day 12
7,deliver,/dɪˈlɪvər/,v.,递送；发布,The president will deliver a speech about schools. 校长将发表关于学校的演讲。,Level 2,Day 12
8,delay,/dɪˈleɪ/,v.,拖延；延期 as e.g. Various setbacks and problems delayed production. 各种各样的挫折和问题延误了生产。,,Level 2,Day 12
9,editor,/ˈedɪtər/,n.,编者，编辑,Her father was the former editor of the Saturday Review.她的父亲是《星期六评论》的前任主编。,Level 2,Day 12
10,professor,/prəˈfesər/,n.,教授,His grandfather was a professor. 他爷爷曾是位 教授。,Level 2,Day 12
11,pleasure,/ˈpleʒər/,,,,Level 2,Day 12
12,respond,/rɪˈspɑːnd/,v.,回答,"I asked him his name, but he didn't respond. 他叫什么名字，可他没回答。",Level 2,Day 12
13,reply,/rɪˈplaɪ/,v.,回答；答复 定的答复。,,Level 2,Day 12
14,formal,/ˈfɔːrm(ə)l/,adj.,正式的；正规的,He wrote a very formal letter of apology.他写了 一封非常正式的道歉信。,Level 2,Day 12
15,impression,/ɪmˈpreʃ(ə)n/,n.,印象,My first impression of him was favorable. 他给我 的第一印象不错。,Level 2,Day 12
16,intention,/ɪnˈtenʃ(ə)n/,n.,意图；目的,I have no intention of going to the wedding.我无 意去参加婚礼。,Level 2,Day 12
17,interaction,/ˌɪntərˈækʃ(ə)n/,n.,相互作用；互动,Price is determined through the interaction demand and supply. 价格是由供求关系的相互作用 决定的。,Level 2,Day 12
18,expectation,/ˌekspekˈteɪʃn/,,,She went to college with great expectations.她满,Level 2,Day 12
19,exception,/ɪkˈsepʃn/,n.,例外；除外,All students without exception must take the English exam.所有学生都必须参加英语考试，无一 我问 例外。,Level 2,Day 12
20,revolution,/ˌrevəˈluːʃ(ə)n/,n.,革命；巨变,to start a revolution 发动一场革命,Level 2,Day 12
21,convention,/kənˈvenʃ(ə)n/,n.,惯例；协定,social conventions 社会习俗,Level 2,Day 12
22,negotiation,/nɪˌɡoʊʃiˈeɪʃ(ə)n/,n.,协商,The issue is still under negotiation .这个问题还在 商讨之中。,Level 2,Day 12
23,reputation,/ˌrepjuˈteɪʃ(ə)n/,n.,名誉；声望,This college has a good academic reputation. 这 所大学拥有良好的学术声誉。,Level 2,Day 12
24,observation,/ˌɑːbzərˈveɪʃ(ə)n/,n.,观察,She has good powers of observation. 她有很强的 观察力。,Level 2,Day 12
25,assumption,/əˈsʌmpʃ(ə)n/,n.,假定；设想 of e.g. His actions were based on a false assumption. 他 的行为基于错误的设想。,,Level 2,Day 12
26,combination,/ˌkɑːmbɪˈneɪʃ(ə)n/,n.,结合,Yoga is a combination of physical and breathing exercises. 瑜伽是身体和呼吸练习的结合。,Level 2,Day 12
27,explanation,/ˌekspləˈneɪʃ(ə)n/,n.,说明，解释,I would like an explanation. 我想要一个解释。,Level 2,Day 12
28,sincere,/sɪnˈsɪr/,adj.,真诚的,He wanted to make a sincere apology to Jimmy. 他想向吉米真诚地道歉。,Level 2,Day 12
29,lately,/ˈleɪtli/,adv.,近来，不久前,Have you seen her lately? 你最近见过她吗？ | The fate of the three men is unknown. 这三个人 命运未卜。,Level 2,Day 12
31,disable,/dɪsˈeɪbl/,v.,使伤残,He was disabled in a car accident. 他在车祸中残 废了。,Level 2,Day 12
32,clap,/klæp/,v.,鼓掌,The audience cheered and clapped. 观众又是喝 彩又是鼓掌。,Level 2,Day 12
33,achievement,/əˈtʃiːvmənt/,n.,成就；达到,It is an impressive achievement. 这是一项令人 敬佩的成就。,Level 2,Day 12
34,nevertheless,/ˌnevərðəˈles/,adv.,然而,"The news may be unexpected; nevertheless, 106<< 零基础词汇讲义Level 2 true. 这消息可能是出乎意料的，然而是真实的。",Level 2,Day 12
35,dislike,/dɪsˈlaɪk/,v.,不喜欢,He did not try to hide his dislike of his boss. 他没 有掩饰自己对上司的反感。,Level 2,Day 12
36,unless,/ənˈles/,conj.,除非,You can’t enter unless you have a ticket. 除非有 票，否则不能进入。,Level 2,Day 12
37,otherwise,/ˈʌðərwaɪz/,adv.,否则,"Shut the window, otherwise it'll get too cold in here. 把窗户关好，不然屋子里就太冷了。",Level 2,Day 12
38,besides,/bɪˈsaɪdz/,prep.,除……之外(还),We have lots of things in common besides music. 除了音乐，我们还有很多共通点。,Level 2,Day 12
39,meanwhile,/ˈmiːnwaɪl/,adv.,同时,"The doctor will see you again next week. Meanwhile, you must rest as much as possible. 医生 下周还会给你看病。在此期间，你一定要尽可能多 休息。",Level 2,Day 12
40,furthermore,/ˌfɜːrðərˈmɔːr/,adv.,此外；而且,"Furthermore, we need to consider other factors.此 外，我们还需要考虑其他因素。 it is",Level 2,Day 12
1,contrast,/ˈkɑːntræst/,n.,对照；反差,Careful contrast of the two plans shows important differences. 把两个计划仔细地加以对比就可看出一些重要的 差异。,Level 2,Day 13
2,demonstrate,/ˈdemənstreɪt/,v.,展示；论证,I will use this example to demonstrate the theory. 我会用这个例子来证明这个原理。,Level 2,Day 13
3,reveal,/rɪˈviːl/,v.,显示；透露,These poems reveal her gentle side. 这些诗显示 出她温柔的一面。,Level 2,Day 13
4,moral,/ˈmɔːrəl/,adj.,道德的,traditional moral values 线｜教研团队 传统的道德观念,Level 2,Day 13
5,personality,/ˌpɜːrsəˈnæləti/,n.,个性；性格 13,,Level 2,Day 13
6,proper,/ˈprɑːpər/,,,He is always proper in his behaviour. 他的行为举,Level 2,Day 13
7,conduct,/kənˈdʌkt/,v.,组织，实施,I decided to conduct an experiment. 我决定做一 项实验。,Level 2,Day 13
8,trust,/trʌst/,n.,信任,I couldn't trust him anymore. 我再不能相信他了。,Level 2,Day 13
9,attitude,/ˈætɪtuːd/,n.,态度；看法,Scientists have a negative attitude to the theory. 科 学家对这个理论的态度是消极的。,Level 2,Day 13
10,negative,/ˈneɡətɪv/,adj.,消极的；否定的,,Level 2,Day 13
11,initiative,/ɪˈnɪʃətɪv/,n.,主动权；倡议,We have the initiative; we intend to keep it. 拥有主动权；我们想要保持主动权。,Level 2,Day 13
12,truth,/truːθ/,n.,真理；事实,I realized the truth too late. 我知道真相太晚了。,Level 2,Day 13
13,principle,/ˈprɪnsəp(ə)l/,,,It's not just a matter of principle. 这不仅仅是个,Level 2,Day 13
14,principal,/ˈprɪnsəp(ə)l/,adj.,主要的,The principal reason for my change of mind is 我改变主意的最重要原因就是这个。,Level 2,Day 13
15,obvious,/ˈɑːbviəs/,adj.,明显的；显著的,The reason is obvious. 原因是明显的。,Level 2,Day 13
16,deny,/dɪˈnaɪ/,v.,否定；拒绝,He didn't deny the facts.他没有否认事实。,Level 2,Day 13
17,primary,/ˈpraɪmeri/,adj.,主要的；初级的,Our primary concern must be the children. 首先要关心的必须是儿童。,Level 2,Day 13
18,root,/ruːt/,n.,根；根源 须找到问题的根源。 108<< 零基础词汇讲义Level 2,,Level 2,Day 13
19,essential,/ɪˈsenʃ(ə)l/,adj.,必要的；本质的,Money is not essential to happiness. 金钱对于幸 福并非必不可少。 我们 20. contribute /kənˈtrɪbjuːt/ | Immigrants have contributed to British culture in many ways. 移民在许多方面都对英国文化有所贡献。,Level 2,Day 13
21,consequence,/ˈkɑːnsɪkwens/,n.,结果,This decision could have serious consequences for the industry. 这项决定可能对该行业造成严重后果。,Level 2,Day 13
22,highlight,/ˈhaɪlaɪt/,v.,突出；强调,The report highlights the major problems in this. society. 报告特别强调了社会的主要问题。,Level 2,Day 13
23,consideration,,n.,考虑,Careful consideration should be given to issues of health and safety. 健康与安全的问题应该认真予以 考虑。,Level 2,Day 13
24,usual,/ˈjuːʒuəl/,adj.,通常的,It is usual to start a speech by thanking everybody for coming. 讲话前先感谢大家光临，这是惯例。 我们 25. enable /ɪˈneɪb(ə)l/ | The software enables you to access the Internet in seconds. 这种软件使你在几秒钟内便可访问互联网。,Level 2,Day 13
26,additional,/əˈdɪʃən(ə)l/,adj.,附加的，额外的,,Level 2,Day 13
27,typical,/ˈtɪpɪk(ə)l/,adj.,典型的,It was typical family entertainment. 这是典型的 家庭娱乐活动。,Level 2,Day 13
28,careful,/ˈkerf(ə)l/,adj.,仔细的，小心的,Be careful—it has a sharp edge. 小心点——这刀,Level 2,Day 13
29,grateful,/ˈɡreɪtf(ə)l/,adj.,感谢的,I am extremely grateful to all the teachers for help. 我非常感谢所有老师的帮助。,Level 2,Day 13
30,handsome,/ˈhænsəm/,adj.,英俊的；可观的,He was tall and handsome. 他长得又高又英俊。 | a handsome profit 一大笔利润,Level 2,Day 13
31,classification,/ˌklæsəfəˈkeʃən/,n.,分类；类别,garbage classification policy 垃圾分类政策,Level 2,Day 13
32,whereas,/ˌwerˈæz/,conj.,然而,"Some of the studies show positive results, whereas others do not. 有一些研究结果令人满意，然而其他的则不然。",Level 2,Day 13
33,rapidly,/ˈræpɪdli/,adv.,迅速地；快速地 ￡25 e.g. Crime figures are rising rapidly. 犯罪数字正在迅 速地上升。,,Level 2,Day 13
34,apparently,/əˈpærəntli/,adv.,显然,"He paused, apparently lost in thought. 他停顿下 来，显然陷入了沉思。",Level 2,Day 13
35,dramatic,/drəˈmætɪk/,adj.,巨大的；急剧的,The announcement had a dramatic effect on house prices. 这项公告对房屋价格产生了巨大的影响。,Level 2,Day 13
36,multiple,/ˈmʌltɪp(ə)l/,adj.,数量多的；多种多样的,"He died of multiple injuries. 他死于多处受伤。 their 37. unlike /ˌʌnˈlaɪk/ | Unlike most systems, this one is very easy to install. 本系统与多数系统不同，极易安装。",Level 2,Day 13
38,slightly,,adv.,稍微，轻微地,I knew her slightly. 我对她略知一二。,Level 2,Day 13
39,slowly,/ˈsloʊli/,adv.,缓慢地；迟缓地,He found that life moved slowly in the countryside. 他发现乡村的生活节奏慢。,Level 2,Day 13
40,increasingly,/ɪnˈkriːsɪŋli/,adv.,越来越多地,It is becoming increasingly clear that this problem will not be easily solved. 越来越明显的是，这个问 题不会轻易解决。,Level 2,Day 13
1,chart,/tʃɑːrt/,n.,图表,a sales chart 销售图表,Level 2,Day 14
2,percentage,/pərˈsentɪdʒ/,n.,百分比,A high percentage of the female staff are part-time workers. 女职员中，兼职工作的人占很高的比例。,Level 2,Day 14
3,proportion,/prəˈpɔːrʃ(ə)n/,n.,比例，占比,A higher proportion of Americans go on to higher education than is the case in Britain. 美国人上大学的比例大于英国。,Level 2,Day 14
4,trend,/trend/,n.,趋势,There is a growing trend towards earlier retirement. 提早退休者有增加的趋势。,Level 2,Day 14
5,decline,/dɪˈklaɪn/,n.,下降；衰退,The number of tourists declined by 10% last 去年的旅游人数减少了10%。 110<< 零基础词汇讲义Level 2 14 list proportion trend decline speed sudden emergency rush injury hurt,Level 2,Day 14
6,decrease,/dɪˈkriːs/,v.,减少，降低,The number of new students decreased from 210 to 160 this year. 今年新生人数从210 减少到160。,Level 2,Day 14
7,reduction,/rɪˈdʌkʃ(ə)n/,n.,减少；缩小,There has been some reduction in unemployment. 失业人数有所减少。,Level 2,Day 14
8,speed,/spiːd/,n.,速度,I was amazed at his speed of working. 我对他工 作的高速感到惊讶。,Level 2,Day 14
9,sudden,/ˈsʌdn/,adj.,突然的，意外的,Don't make any sudden movements. 不要突然地 做任何动作。,Level 2,Day 14
10,emergency,/ɪˈmɜːrdʒənsi/,,,The government has declared a state of emergency.,Level 2,Day 14
11,crash,/kræʃ/,v.,碰撞；暴跌,a plane crash 飞机失事 | Share prices crashed to an all-time low yesterday. 昨天股票价格暴跌到了前所未有的最低纪录。,Level 2,Day 14
12,signal,/ˈsɪɡnəl/,n.,信号,She signaled that it was time to leave. 她示意该走了。,Level 2,Day 14
13,rush,/rʌʃ/,v.,迅速移动,We've got plenty of time; there's no need to 我们的时间很多，用不着太急促。,Level 2,Day 14
14,injury,/ˈɪndʒəri/,n.,伤害，损害,Two players are out of the team because of injury 两名队员因伤退出了比赛。,Level 2,Day 14
15,hurt,/hɜːrt/,v.,伤害(使)疼痛,I didn't want to hurt his feelings. 我并没有想伤 害他的感情。,Level 2,Day 14
16,dangerous,/ˈdeɪndʒərəs/,adj.,危险的,The traffic here is very dangerous for children.这 里的交通对孩子很危险。 | I was shocked to hear that he had resigned. 听到 他辞职的消息，我深感意外。,Level 2,Day 14
18,threat,/θret/,n.,威胁，恐吓,They pose a serious threat to security. 他们对安 全构成严重威胁。,Level 2,Day 14
19,threaten,/ˈθretn/,v.,威胁；恐吓,They broke my windows and threatened me. 他们 砸碎我的窗子并威胁我。,Level 2,Day 14
20,safety,/ˈseɪfti/,n.,安全；平安,They are anxious for her safety. 他们为她的安全 担心。 rush. 21. secure /sɪˈkjʊr/ | At last they were able to feel secure about the . future. 他们终于觉得不必为将来而担忧了。,Level 2,Day 14
22,battle,/ˈbæt(ə)l/,n.,斗争,He battled cancer for four years. 他同癌症斗争 了四年。,Level 2,Day 14
23,capture,/ˈkæptʃər/,v.,俘获；夺取；捕捉,The animals are captured in nets and sold to local zoos.那些动物用网捕获后被卖到当地的动物园。,Level 2,Day 14
24,peace,/piːs/,n.,和平,war and peace 战争与和平,Level 2,Day 14
25,insist,/ɪnˈsɪst/,v.,坚决要求；坚持,He insisted (that) he was innocent. 他坚持说他是 无辜的。,Level 2,Day 14
26,severe,/sɪˈvɪr/,adj.,严重的；严厉的,His injuries are severe. 他的伤很重。,Level 2,Day 14
27,predict,/prɪˈdɪkt/,v.,预言，预知；预报,Nobody could predict the outcome. 谁也无法预,Level 2,Day 14
28,announce,/əˈnaʊns/,v.,宣布；通知,He will announce tonight that he is resigning from office. 他今晚将宣布他要辞职。,Level 2,Day 14
29,intend,/ɪnˈtend/,v.,计划，打算,Maybe he intends to leave her.也许他打算离开她。,Level 2,Day 14
30,launch,/lɔːntʃ/,v.,发射(导弹、火箭等)；发动,to launch an attack 发起攻击,Level 2,Day 14
31,remark,/rɪˈmɑːrk/,n.,言论，评述,He made a number of rude remarks about the 关于这里的食物他说了许多无礼的评论。,Level 2,Day 14
32,breathe,/briːð/,v.,呼吸,Most people don't realize that they are breathing 112<< 零基础词汇讲义Level 2 染了的空气。,Level 2,Day 14
33,swing,/swɪŋ/,v.,摇摆,His arms swung as he walked. 他边走边摆着双臂。,Level 2,Day 14
34,hang,/hæŋ/,v.,悬挂；垂下,There were several expensive suits hanging here. 这挂着几套昂贵的衣服。,Level 2,Day 14
35,examine,/ɪɡˈzæmɪn/,v.,检查；审查,The plans will be examined by officials. 这些计 划将由官员们审查。,Level 2,Day 14
36,acute,/əˈkjuːt/,adj.,严重的；敏锐的,There is an acute shortage of water. 水严重短缺。,Level 2,Day 14
37,terrify,/ˈterɪfaɪ/,v.,恐吓；使害怕,Flying terrifies her. 她害怕坐飞机。,Level 2,Day 14
38,length,/leŋkθ/,n.,长度,The river is 300 miles in length. 这条河长300 英 里长。,Level 2,Day 14
39,extent,/ɪkˈstent/,n.,"程度；范围 food. e.g. That's true, to a certain extent. 在一定程度上的确 如此。",,Level 2,Day 14
40,repeat,/rɪˈpiːt/,v.,重复,to repeat a question 重复一遍问题,Level 2,Day 14
1,critic,/ˈkrɪtɪk/,n.,批评家；评论家,a literary critic 文学评论家,Level 2,Day 15
2,literature,/ˈlɪtrətʃər/,n.,文学；文学作品,French literature 法国文学,Level 2,Day 15
3,category,/ˈkætəɡɔːri/,n.,(人或事物的)类别，种类,The results can be divided into three categories. 结果可分为三大类。,Level 2,Day 15
4,novel,/ˈnɑːvl/,n.,小说,historical novels 历史小说 a novel feature 新特征,Level 2,Day 15
5,frame,/freɪm/,n.,框架；体形,a picture frame 画框 线｜教研团队,Level 2,Day 15
6,chapter,/ˈtʃæptər/,n.,章 15,,Level 2,Day 15
7,brief,/briːf/,n.,简介,Mozart's life was brief. 莫扎特的一生很短暂。,Level 2,Day 15
8,emotional,/ɪˈmoʊʃənl/,adj.,感情的,emotional problems 情感问题,Level 2,Day 15
9,atmosphere,/ˈætməsfɪr/,,,pollution of the atmosphere 大气污染,Level 2,Day 15
10,overall,/ˌoʊvərˈɔːl/,adj.,全面的,"Overall, this is a very useful book. 总的来说，这 是一本很有用的书。",Level 2,Day 15
11,variable,/ˈværiəbl/,adj.,多变的,variable temperatures 变化不定的气温,Level 2,Day 15
12,phase,/feɪz/,n.,阶段,during the first phase 在第一阶段,Level 2,Day 15
13,combine,/kəmˈbaɪn/,v.,使联合，组合,You should try to combine exercise with a healthy diet. 你应该把锻炼和健康饮食结合起来。,Level 2,Day 15
14,shift,/ʃɪft/,v.,转移,We need to shift the focus of this debate. 我们需 要转换一下辩论的焦点。,Level 2,Day 15
15,surface,/ˈsɜːrfɪs/,,,These plants float on the surface of the water.,Level 2,Day 15
16,reality,/riˈæləti/,n.,现实,She refuses to face reality. 她不肯面对现实。,Level 2,Day 15
17,straight,/streɪt/,adj.,直的；坦率的,a straight line 直线,Level 2,Day 15
18,arise,/əˈraɪz/,v.,发生；产生,A new crisis has arisen. 新危机已经出现。,Level 2,Day 15
19,existence,/ɪɡˈzɪstəns/,n.,存在,I was unaware of his existence until today. 今天我才知道有他这么个人。,Level 2,Day 15
20,emerge,/ɪˈmɜːrdʒ/,v.,出现，浮现,No new evidence emerged during the investigation.,Level 2,Day 15
21,appearance,/əˈpɪrəns/,n.,外观；外表,She had never been greatly concerned about her appearance. 她从来不怎么注重外貌。,Level 2,Day 15
22,characteristic,/ˌkærəktəˈrɪstɪk/,adj.,典型的,The two groups of children have quite different characteristics. 这两组儿童具有截然不同的特点。,Level 2,Day 15
23,identity,/aɪˈdentəti/,n.,身份；相同,The police are trying to discover the identity of the killer. 这 警方正努力调查杀人凶手的身份。 | an identity of interests 利益一致,Level 2,Day 15
